timestamp,wind_direction,wind_level,tide
1476144000.0,West,Mild,Ebb
1476145800.0000033,West,Mild,Ebb
1476147599.9999967,West,Mild,Ebb
1476149400.0,West,Mild,Ebb
1476151200.0000033,West,Mild,Ebb
1476152999.9999967,West,Mild,Flood
1476154800.0,West,Mild,Flood
1476156600.0000033,South,Mild,Flood
1476158399.9999967,South,Mild,Flood
1476160200.0,South,Mild,Flood
1476162000.0000033,South,Mild,Flood
1476163799.9999967,South,Mild,Flood
1476165600.0,South,Mild,Flood
1476167400.0000033,South,Moderate,Flood
1476169199.9999967,South,Moderate,Flood
1476171000.0,South,Moderate,Flood
1476172800.0000033,South,Moderate,Flood
1476174599.9999967,South,Moderate,Flood
1476176400.0,South,Moderate,Ebb
1476178200.0000033,South,Heavy,Ebb
1476179999.9999967,South,Heavy,Ebb
1476181800.0,South,Heavy,Ebb
1476183600.0000033,South,Heavy,Ebb
1476185399.9999967,South,Heavy,Ebb
1476187200.0,South,Heavy,Ebb
1476189000.0000033,South,Heavy,Ebb
1476190799.9999967,South,Heavy,Ebb
1476192600.0,South,Heavy,Ebb
1476194400.0000033,South,Heavy,Ebb
1476196199.9999967,South,Heavy,Ebb
1476198000.0,South,Heavy,Ebb
1476199800.0000033,South,Heavy,Flood
1476201599.9999967,South,Heavy,Flood
1476203400.0,South,Heavy,Flood
1476205200.0000033,South,Heavy,Flood
1476206999.9999967,South,Heavy,Flood
1476208800.0,South,Heavy,Flood
1476210600.0000033,West,Moderate,Flood
1476212399.9999967,West,Moderate,Flood
1476214200.0,West,Moderate,Flood
1476216000.0000033,West,Moderate,Flood
1476217799.9999967,West,Moderate,Flood
1476219600.0,West,Moderate,Flood
1476221400.0000033,West,Moderate,Ebb
1476223199.9999967,West,Moderate,Ebb
1476225000.0,West,Moderate,Ebb
1476226800.0000033,West,Moderate,Ebb
1476228599.9999967,West,Moderate,Ebb
1476230400.0,West,Moderate,Ebb
1476232200.0000033,West,Moderate,Ebb
1476233999.9999967,West,Moderate,Ebb
1476235800.0,West,Moderate,Ebb
1476237600.0000033,West,Moderate,Ebb
1476239399.9999967,West,Moderate,Ebb
1476241200.0,West,Moderate,Ebb
1476243000.0000033,West,Moderate,Flood
1476244799.9999967,West,Moderate,Flood
1476246600.0,West,Moderate,Flood
1476248400.0000033,West,Moderate,Flood
1476250199.9999967,West,Moderate,Flood
1476252000.0,West,Moderate,Flood
1476253800.0000033,West,Moderate,Flood
1476255599.9999967,West,Moderate,Flood
1476257400.0,West,Moderate,Flood
1476259200.0000033,West,Moderate,Flood
1476260999.9999967,West,Moderate,Flood
1476262800.0,West,Moderate,Flood
1476264600.0000033,West,Moderate,Flood
1476266399.9999967,West,Moderate,Ebb
1476268200.0,West,Moderate,Ebb
1476270000.0000033,West,Moderate,Ebb
1476271799.9999967,West,Moderate,Ebb
1476273600.0,West,Moderate,Ebb
1476275400.0000033,West,Moderate,Ebb
1476277199.9999967,West,Moderate,Ebb
1476279000.0,West,Moderate,Ebb
1476280800.0000033,West,Moderate,Ebb
1476282599.9999967,West,Moderate,Ebb
1476284400.0,West,Moderate,Ebb
1476286200.0000033,North,Mild,Ebb
1476287999.9999967,North,Mild,Ebb
1476289800.0,North,Mild,Flood
1476291600.0000033,North,Mild,Flood
1476293399.9999967,North,Mild,Flood
1476295200.0,North,Mild,Flood
1476297000.0000033,North,Moderate,Flood
1476298799.9999967,North,Moderate,Flood
1476300600.0,North,Moderate,Flood
1476302400.0000033,North,Moderate,Flood
1476304199.9999967,North,Moderate,Flood
1476306000.0,North,Moderate,Flood
1476307800.0000033,North,Mild,Flood
1476309599.9999967,North,Mild,Flood
1476311400.0,North,Mild,Ebb
1476313200.0000033,North,Mild,Ebb
1476314999.9999967,North,Mild,Ebb
1476316800.0,North,Mild,Ebb
1476318600.0000033,North,Moderate,Ebb
1476320399.9999967,North,Moderate,Ebb
1476322200.0,North,Moderate,Ebb
1476324000.0000033,North,Moderate,Ebb
1476325799.9999967,North,Moderate,Ebb
1476327600.0,North,Moderate,Ebb
1476329400.0000033,North,Moderate,Ebb
1476331199.9999967,North,Moderate,Ebb
1476333000.0,North,Moderate,Flood
1476334800.0000033,North,Moderate,Flood
1476336599.9999967,North,Moderate,Flood
1476338400.0,North,Moderate,Flood
1476340200.0000033,North,Moderate,Flood
1476341999.9999967,North,Moderate,Flood
1476343800.0,North,Moderate,Flood
1476345600.0000033,North,Moderate,Flood
1476347399.9999967,North,Moderate,Flood
1476349200.0,North,Moderate,Flood
1476351000.0000033,North,Moderate,Flood
1476352799.9999967,North,Moderate,Flood
1476354600.0,North,Moderate,Flood
1476356400.0000033,North,Moderate,Ebb
1476358199.9999967,North,Moderate,Ebb
1476360000.0,North,Moderate,Ebb
1476361800.0000033,North,Heavy,Ebb
1476363599.9999967,North,Heavy,Ebb
1476365400.0,North,Heavy,Ebb
1476367200.0000033,North,Heavy,Ebb
1476368999.9999967,North,Heavy,Ebb
1476370800.0,North,Heavy,Ebb
1476372600.0000033,North,Heavy,Ebb
1476374399.9999967,North,Heavy,Ebb
1476376200.0,North,Heavy,Ebb
1476378000.0000033,North,Heavy,Flood
1476379799.9999967,North,Heavy,Flood
1476381600.0,North,Heavy,Flood
1476383400.0000033,North,Heavy,Flood
1476385199.9999967,North,Heavy,Flood
1476387000.0,North,Heavy,Flood
1476388800.0000033,North,Heavy,Flood
1476390599.9999967,North,Heavy,Flood
1476392400.0,North,Heavy,Flood
1476394200.0000033,North,Heavy,Flood
1476395999.9999967,North,Heavy,Flood
1476397800.0,North,Heavy,Flood
1476399600.0000033,North,Heavy,Flood
1476401399.9999967,North,Heavy,Ebb
1476403200.0,North,Heavy,Ebb
1476405000.0000033,North,Heavy,Ebb
1476406799.9999967,North,Heavy,Ebb
1476408600.0,North,Heavy,Ebb
1476410400.0000033,North,Heavy,Ebb
1476412199.9999967,North,Heavy,Ebb
1476414000.0,North,Heavy,Ebb
1476415800.0000033,North,Heavy,Ebb
1476417599.9999967,North,Heavy,Ebb
1476419400.0,North,Heavy,Ebb
1476421200.0000033,North,Heavy,Ebb
1476422999.9999967,North,Heavy,Flood
1476424800.0,North,Heavy,Flood
1476426600.0000033,North,Moderate,Flood
1476428399.9999967,North,Moderate,Flood
1476430200.0,North,Moderate,Flood
1476432000.0000033,North,Moderate,Flood
1476433799.9999967,North,Moderate,Flood
1476435600.0,North,Moderate,Flood
1476437400.0000033,South,Mild,Flood
1476439199.9999967,South,Mild,Flood
1476441000.0,South,Mild,Flood
1476442800.0000033,South,Mild,Flood
1476444599.9999967,South,Mild,Ebb
1476446400.0,South,Mild,Ebb
1476448200.0000033,South,Moderate,Ebb
1476449999.9999967,South,Moderate,Ebb
1476451800.0,South,Moderate,Ebb
1476453600.0000033,South,Moderate,Ebb
1476455399.9999967,South,Moderate,Ebb
1476457200.0,South,Moderate,Ebb
1476459000.0000033,South,Moderate,Ebb
1476460799.9999967,South,Moderate,Ebb
1476462600.0,South,Moderate,Ebb
1476464400.0000033,South,Moderate,Ebb
1476466199.9999967,South,Moderate,Ebb
1476468000.0,South,Moderate,Flood
1476469800.0000033,West,Moderate,Flood
1476471599.9999967,West,Moderate,Flood
1476473400.0,West,Moderate,Flood
1476475200.0000033,West,Moderate,Flood
1476476999.9999967,West,Moderate,Flood
1476478800.0,West,Moderate,Flood
1476480600.0000033,West,Moderate,Flood
1476482399.9999967,West,Moderate,Flood
1476484200.0,West,Moderate,Flood
1476486000.0000033,West,Moderate,Flood
1476487799.9999967,West,Moderate,Flood
1476489600.0,West,Moderate,Ebb
1476491400.0000033,West,Moderate,Ebb
1476493199.9999967,West,Moderate,Ebb
1476495000.0,West,Moderate,Ebb
1476496800.0000033,West,Moderate,Ebb
1476498599.9999967,West,Moderate,Ebb
1476500400.0,West,Moderate,Ebb
1476502200.0000033,West,Moderate,Ebb
1476503999.9999967,West,Moderate,Ebb
1476505800.0,West,Moderate,Ebb
1476507600.0000033,West,Moderate,Ebb
1476509399.9999967,West,Moderate,Ebb
1476511200.0,West,Moderate,Flood
1476513000.0000033,South,Moderate,Flood
1476514799.9999967,South,Moderate,Flood
1476516600.0,South,Moderate,Flood
1476518400.0000033,South,Moderate,Flood
1476520199.9999967,South,Moderate,Flood
1476522000.0,South,Moderate,Flood
1476523800.0000033,South,Heavy,Flood
1476525599.9999967,South,Heavy,Flood
1476527400.0,South,Heavy,Flood
1476529200.0000033,South,Heavy,Flood
1476530999.9999967,South,Heavy,Flood
1476532800.0,South,Heavy,Flood
1476534600.0000033,South,Heavy,Ebb
1476536399.9999967,South,Heavy,Ebb
1476538200.0,South,Heavy,Ebb
1476540000.0000033,South,Heavy,Ebb
1476541799.9999967,South,Heavy,Ebb
1476543600.0,South,Heavy,Ebb
1476545400.0000033,South,Heavy,Ebb
1476547199.9999967,South,Heavy,Ebb
1476549000.0,South,Heavy,Ebb
1476550800.0000033,South,Heavy,Ebb
1476552599.9999967,South,Heavy,Ebb
1476554400.0,South,Heavy,Ebb
1476556200.0000033,South,Heavy,Flood
1476557999.9999967,South,Heavy,Flood
1476559800.0,South,Heavy,Flood
1476561600.0000033,South,Heavy,Flood
1476563399.9999967,South,Heavy,Flood
1476565200.0,South,Heavy,Flood
1476567000.0000033,West,Moderate,Flood
1476568799.9999967,West,Moderate,Flood
1476570600.0,West,Moderate,Flood
1476572400.0000033,West,Moderate,Flood
1476574199.9999967,West,Moderate,Flood
1476576000.0,West,Moderate,Flood
1476577800.0000033,West,Moderate,Ebb
1476579599.9999967,West,Moderate,Ebb
1476581400.0,West,Moderate,Ebb
1476583200.0000033,West,Moderate,Ebb
1476584999.9999967,West,Moderate,Ebb
1476586800.0,West,Moderate,Ebb
1476588600.0000033,South,Mild,Ebb
1476590399.9999967,South,Mild,Ebb
1476592200.0,South,Mild,Ebb
1476594000.0000033,South,Mild,Ebb
1476595799.9999967,South,Mild,Ebb
1476597600.0,South,Mild,Ebb
1476599400.0000033,South,Moderate,Ebb
1476601199.9999967,South,Moderate,Flood
1476603000.0,South,Moderate,Flood
1476604800.0000033,South,Moderate,Flood
1476606599.9999967,South,Moderate,Flood
1476608400.0,South,Moderate,Flood
1476610200.0000033,South,Moderate,Flood
1476611999.9999967,South,Moderate,Flood
1476613800.0,South,Moderate,Flood
1476615600.0000033,South,Moderate,Flood
1476617399.9999967,South,Moderate,Flood
1476619200.0,South,Moderate,Flood
1476621000.0000033,South,Moderate,Flood
1476622799.9999967,South,Moderate,Ebb
1476624600.0,South,Moderate,Ebb
1476626400.0000033,South,Moderate,Ebb
1476628199.9999967,South,Moderate,Ebb
1476630000.0,South,Moderate,Ebb
1476631800.0000033,South,Moderate,Ebb
1476633599.9999967,South,Moderate,Ebb
1476635400.0,South,Moderate,Ebb
1476637200.0000033,South,Moderate,Ebb
1476638999.9999967,South,Moderate,Ebb
1476640800.0,South,Moderate,Ebb
1476642600.0000033,South,Moderate,Ebb
1476644399.9999967,South,Moderate,Flood
1476646200.0,South,Moderate,Flood
1476648000.0000033,South,Moderate,Flood
1476649799.9999967,South,Moderate,Flood
1476651600.0,South,Moderate,Flood
1476653400.0000033,South,Mild,Flood
1476655199.9999967,South,Mild,Flood
1476657000.0,South,Mild,Flood
