timestamp_ebbstart,timestamp_ebbend
1477967160.0,1477989120.0
1478011380.0,1478033040.0
1478055480.0,1478077500.0
1478099760.0,1478121360.0
1478143860.0,1478166000.0
1478188260.0,1478209800.0
1478232420.0,1478254620.0
1478276940.0,1478298480.0
1478321160.0,1478343540.0
1478365980.0,1478387460.0
1478410380.0,1478433000.0
1478455680.0,1478477160.0
1478500380.0,1478523360.0
1478546280.0,1478567880.0
1478591100.0,1478614320.0
1478637300.0,1478659080.0
1478681940.0,1478705100.0
1478727780.0,1478749740.0
1478772240.0,1478795100.0
1478817660.0,1478839620.0
1478862060.0,1478884620.0
1478907120.0,1478929140.0
1478951460.0,1478973900.0
1478996340.0,1479018420.0
1479040800.0,1479063060.0
1479085500.0,1479107580.0
1479130020.0,1479152160.0
1479174600.0,1479196800.0
1479219240.0,1479241260.0
1479263760.0,1479286080.0
1479308520.0,1479330420.0
1479352980.0,1479375420.0
1479397920.0,1479419640.0
1479442380.0,1479464880.0
1479487440.0,1479509100.0
1479531960.0,1479554700.0
1479577320.0,1479598920.0
1479621900.0,1479644940.0
1479667680.0,1479689340.0
1479712380.0,1479735720.0
1479758520.0,1479780420.0
1479803160.0,1479826680.0
1479849300.0,1479871380.0
1479893820.0,1479917040.0
1479939540.0,1479961620.0
1479983760.0,1480006560.0
1480028940.0,1480050960.0
1480073040.0,1480095480.0
1480117800.0,1480139820.0
1480161900.0,1480183980.0
1480206360.0,1480228380.0
1480250460.0,1480272360.0
1480294800.0,1480316820.0
1480338900.0,1480360740.0
1480383120.0,1480405200.0
1480427340.0,1480449060.0
1480471500.0,1480493640.0
1480515780.0,1480537380.0
1509492360.0,1509514140.0
1509536400.0,1509558840.0
1509581160.0,1509603060.0
1509625320.0,1509647580.0
1509669960.0,1509691860.0
1509714180.0,1509736380.0
1509758760.0,1509780720.0
1509803100.0,1509825180.0
1509847620.0,1509869700.0
1509892080.0,1509914160.0
1509936600.0,1509958800.0
1509981240.0,1510003200.0
1510025760.0,1510048080.0
1510070580.0,1510092480.0
1510115100.0,1510137600.0
1510160280.0,1510182060.0
1510204920.0,1510227660.0
1510250460.0,1510272180.0
1510295220.0,1510318380.0
1510341300.0,1510363140.0
1510386180.0,1510409700.0
1510432620.0,1510454640.0
1510477320.0,1510500840.0
1510523520.0,1510545540.0
1510567980.0,1510591080.0
1510613520.0,1510635540.0
1510657800.0,1510680480.0
1510702860.0,1510724820.0
1510747020.0,1510769340.0
1510791660.0,1510813620.0
1510835820.0,1510857900.0
1510880220.0,1510902180.0
1510924380.0,1510946280.0
1510968660.0,1510990620.0
1511012820.0,1511034600.0
1511056980.0,1511079060.0
1511101260.0,1511122920.0
1511145360.0,1511167440.0
1511189700.0,1511211240.0
1511233800.0,1511255940.0
1511278200.0,1511299680.0
1511322300.0,1511344500.0
1511366820.0,1511388240.0
1511410920.0,1511433300.0
1511455680.0,1511476980.0
1511499840.0,1511522400.0
1511544900.0,1511566140.0
1511589180.0,1511611980.0
1511634660.0,1511655960.0
1511679180.0,1511702220.0
1511725080.0,1511746560.0
1511769660.0,1511792820.0
1511815680.0,1511837400.0
1511860140.0,1511883120.0
