CÁLCULO DE MARÉS DE PORTOS PORTUGUESES
FACULDADE DE CIÊNCIAS DA UNIVERSIDADE DE LISBOA
Carlos Antunes, http://enggeografica.fc.ul.pt

MODELO DE PREVISÃO DE MARÉS DA FCUL (EG/DEGGE)                  
ajustado ao marégrafo de LEIXÕES pelo Grupo de EG da FCUL       
DADOS DE MARÉ DO Instituto Hidrográfico - 1H DE 2007            

PORTO DE LEIXOES                  

  Data       Hora   Alt    Maré
----------------------------------
2017-01-01   4:34  3.61  Preia-Mar           
2017-01-01  10:47  0.96  Baixa-Mar           
2017-01-01  16:58  3.37  Preia-Mar           
2017-01-01  22:55  1.07  Baixa-Mar           
2017-01-02   5:12  3.56  Preia-Mar           
2017-01-02  11:25  1.01  Baixa-Mar           
2017-01-02  17:37  3.30  Preia-Mar           
2017-01-02  23:35  1.14  Baixa-Mar           
2017-01-03   5:54  3.49  Preia-Mar           
2017-01-03  12:09  1.09  Baixa-Mar           
2017-01-03  18:22  3.22  Preia-Mar           
2017-01-04   0:20  1.24  Baixa-Mar           
2017-01-04   6:41  3.40  Preia-Mar           
2017-01-04  12:58  1.18  Baixa-Mar           
2017-01-04  19:14  3.14  Preia-Mar           
2017-01-05   1:14  1.33  Baixa-Mar           
2017-01-05   7:36  3.30  Preia-Mar           
2017-01-05  13:57  1.26  Baixa-Mar           
2017-01-05  20:16  3.08  Preia-Mar           
2017-01-06   2:18  1.41  Baixa-Mar           
2017-01-06   8:41  3.22  Preia-Mar           
2017-01-06  15:04  1.31  Baixa-Mar           
2017-01-06  21:26  3.08  Preia-Mar           
2017-01-07   3:34  1.42  Baixa-Mar           
2017-01-07   9:55  3.21  Preia-Mar           
2017-01-07  16:18  1.28  Baixa-Mar           
2017-01-07  22:39  3.17  Preia-Mar           
2017-01-08   4:51  1.33  Baixa-Mar           
2017-01-08  11:08  3.27  Preia-Mar           
2017-01-08  17:27  1.19  Baixa-Mar           
2017-01-08  23:46  3.33  Preia-Mar           
2017-01-09   6:00  1.16  Baixa-Mar           
2017-01-09  12:15  3.39  Preia-Mar           
2017-01-09  18:28  1.05  Baixa-Mar           
2017-01-10   0:45  3.53  Preia-Mar           
2017-01-10   7:00  0.96  Baixa-Mar           
2017-01-10  13:14  3.52  Preia-Mar           
2017-01-10  19:22  0.91  Baixa-Mar           
2017-01-11   1:39  3.72  Preia-Mar           
2017-01-11   7:54  0.78  Baixa-Mar           
2017-01-11  14:06  3.64  Preia-Mar           
2017-01-11  20:11  0.79  Baixa-Mar           
2017-01-12   2:28  3.88  Preia-Mar           
2017-01-12   8:43  0.65  Baixa-Mar           
2017-01-12  14:55  3.71  Preia-Mar           
2017-01-12  20:57  0.73  Baixa-Mar           
2017-01-13   3:14  3.96  Preia-Mar           
2017-01-13   9:29  0.60  Baixa-Mar           
2017-01-13  15:41  3.72  Preia-Mar           
2017-01-13  21:42  0.72  Baixa-Mar           
2017-01-14   3:59  3.96  Preia-Mar           
2017-01-14  10:13  0.63  Baixa-Mar           
2017-01-14  16:25  3.67  Preia-Mar           
2017-01-14  22:25  0.79  Baixa-Mar           
2017-01-15   4:42  3.88  Preia-Mar           
2017-01-15  10:57  0.73  Baixa-Mar           
2017-01-15  17:08  3.56  Preia-Mar           
2017-01-15  23:07  0.91  Baixa-Mar           
2017-01-16   5:24  3.74  Preia-Mar           
2017-01-16  11:38  0.88  Baixa-Mar           
2017-01-16  17:51  3.41  Preia-Mar           
2017-01-16  23:49  1.07  Baixa-Mar           
2017-01-17   6:08  3.55  Preia-Mar           
2017-01-17  12:22  1.07  Baixa-Mar           
2017-01-17  18:35  3.24  Preia-Mar           
2017-01-18   0:33  1.26  Baixa-Mar           
2017-01-18   6:53  3.33  Preia-Mar           
2017-01-18  13:07  1.27  Baixa-Mar           
2017-01-18  19:23  3.07  Preia-Mar           
2017-01-19   1:22  1.45  Baixa-Mar           
2017-01-19   7:42  3.12  Preia-Mar           
2017-01-19  13:58  1.45  Baixa-Mar           
2017-01-19  20:17  2.93  Preia-Mar           
2017-01-20   2:20  1.61  Baixa-Mar           
2017-01-20   8:39  2.95  Preia-Mar           
