CÁLCULO DE MARÉS DE PORTOS PORTUGUESES
FACULDADE DE CIÊNCIAS DA UNIVERSIDADE DE LISBOA
Carlos Antunes, http://enggeografica.fc.ul.pt

MODELO DE PREVISÃO DE MARÉS DA FCUL (EG/DEGGE)                  
ajustado ao marégrafo de LEIXÕES pelo Grupo de EG da FCUL       
DADOS DE MARÉ DO Instituto Hidrográfico - 1H DE 2007            

PORTO DE LEIXOES_FCUL             

  Data       Hora   Alt    Maré
----------------------------------
2019-01-01   5:24  1.40  Baixa-Mar           
2019-01-01  11:38  3.21  Preia-Mar           
2019-01-01  17:56  1.30  Baixa-Mar           
2019-01-02   0:11  3.23  Preia-Mar           
2019-01-02   6:23  1.32  Baixa-Mar           
2019-01-02  12:34  3.24  Preia-Mar           
2019-01-02  18:45  1.25  Baixa-Mar           
2019-01-03   1:00  3.33  Preia-Mar           
2019-01-03   7:13  1.22  Baixa-Mar           
2019-01-03  13:22  3.28  Preia-Mar           
2019-01-03  19:28  1.20  Baixa-Mar           
2019-01-04   1:43  3.43  Preia-Mar           
2019-01-04   7:56  1.14  Baixa-Mar           
2019-01-04  14:04  3.32  Preia-Mar           
2019-01-04  20:06  1.15  Baixa-Mar           
2019-01-05   2:21  3.51  Preia-Mar           
2019-01-05   8:34  1.07  Baixa-Mar           
2019-01-05  14:43  3.35  Preia-Mar           
2019-01-05  20:42  1.11  Baixa-Mar           
2019-01-06   2:57  3.57  Preia-Mar           
2019-01-06   9:10  1.02  Baixa-Mar           
2019-01-06  15:19  3.37  Preia-Mar           
2019-01-06  21:17  1.09  Baixa-Mar           
2019-01-07   3:33  3.60  Preia-Mar           
2019-01-07   9:45  1.01  Baixa-Mar           
2019-01-07  15:55  3.36  Preia-Mar           
2019-01-07  21:51  1.10  Baixa-Mar           
2019-01-08   4:08  3.59  Preia-Mar           
2019-01-08  10:20  1.02  Baixa-Mar           
2019-01-08  16:30  3.33  Preia-Mar           
2019-01-08  22:25  1.14  Baixa-Mar           
2019-01-09   4:43  3.54  Preia-Mar           
2019-01-09  10:55  1.08  Baixa-Mar           
2019-01-09  17:06  3.27  Preia-Mar           
2019-01-09  23:01  1.20  Baixa-Mar           
2019-01-10   5:19  3.47  Preia-Mar           
2019-01-10  11:31  1.16  Baixa-Mar           
2019-01-10  17:42  3.19  Preia-Mar           
2019-01-10  23:37  1.29  Baixa-Mar           
2019-01-11   5:56  3.36  Preia-Mar           
2019-01-11  12:09  1.26  Baixa-Mar           
2019-01-11  18:21  3.09  Preia-Mar           
2019-01-12   0:16  1.40  Baixa-Mar           
2019-01-12   6:36  3.24  Preia-Mar           
2019-01-12  12:51  1.37  Baixa-Mar           
2019-01-12  19:04  2.99  Preia-Mar           
2019-01-13   1:00  1.51  Baixa-Mar           
2019-01-13   7:21  3.12  Preia-Mar           
2019-01-13  13:38  1.47  Baixa-Mar           
2019-01-13  19:55  2.92  Preia-Mar           
2019-01-14   1:53  1.60  Baixa-Mar           
2019-01-14   8:15  3.02  Preia-Mar           
2019-01-14  14:35  1.54  Baixa-Mar           
2019-01-14  20:55  2.89  Preia-Mar           
2019-01-15   2:58  1.65  Baixa-Mar           
2019-01-15   9:19  2.98  Preia-Mar           
2019-01-15  15:41  1.54  Baixa-Mar           
2019-01-15  22:03  2.93  Preia-Mar           
2019-01-16   4:11  1.62  Baixa-Mar           
2019-01-16  10:28  3.00  Preia-Mar           
2019-01-16  16:48  1.47  Baixa-Mar           
2019-01-16  23:09  3.05  Preia-Mar           
2019-01-17   5:22  1.48  Baixa-Mar           
2019-01-17  11:36  3.11  Preia-Mar           
2019-01-17  17:50  1.33  Baixa-Mar           
2019-01-18   0:10  3.25  Preia-Mar           
2019-01-18   6:23  1.27  Baixa-Mar           
2019-01-18  12:36  3.28  Preia-Mar           
2019-01-18  18:46  1.15  Baixa-Mar           
2019-01-19   1:03  3.48  Preia-Mar           
2019-01-19   7:17  1.03  Baixa-Mar           
2019-01-19  13:30  3.47  Preia-Mar           
2019-01-19  19:36  0.96  Baixa-Mar           
2019-01-20   1:53  3.72  Preia-Mar           
2019-01-20   8:08  0.81  Baixa-Mar           
2019-01-20  14:20  3.64  Preia-Mar           
2019-01-20  20:24  0.80  Baixa-Mar           
2019-01-21   2:41  3.91  Preia-Mar           
2019-01-21   8:56  0.63  Baixa-Mar           
2019-01-21  15:08  3.76  Preia-Mar           
