,x,y,z,salinity
0,-10813.8935546875,-9907.7373046875,0.0,33.87541961669922
1,-10813.8935546875,-9907.7373046875,-0.5,33.87541961669922
2,-10813.8935546875,-9907.7373046875,-1.5,34.880126953125
3,-10813.8935546875,-9907.7373046875,-2.5,35.085540771484375
4,-10813.8935546875,-9907.7373046875,-3.5,35.085540771484375
5,-10813.8935546875,-9907.7373046875,-4.5,35.2132568359375
6,-10813.8935546875,-9842.873046875,0.0,33.87541961669922
7,-10813.8935546875,-9842.873046875,-0.5,33.87541961669922
8,-10813.8935546875,-9842.873046875,-1.5,34.880126953125
9,-10813.8935546875,-9842.873046875,-2.5,35.085540771484375
10,-10813.8935546875,-9842.873046875,-3.5,35.085540771484375
11,-10813.8935546875,-9842.873046875,-4.5,35.2132568359375
12,-10813.8935546875,-9778.0078125,0.0,33.87225341796875
13,-10813.8935546875,-9778.0078125,-0.5,33.87225341796875
14,-10813.8935546875,-9778.0078125,-1.5,34.87881851196289
15,-10813.8935546875,-9778.0078125,-2.5,35.08527374267578
16,-10813.8935546875,-9778.0078125,-3.5,35.08527374267578
17,-10813.8935546875,-9778.0078125,-4.5,35.212135314941406
18,-10813.8935546875,-9713.142578125,0.0,33.88346481323242
19,-10813.8935546875,-9713.142578125,-0.5,33.88346481323242
20,-10813.8935546875,-9713.142578125,-1.5,34.88249206542969
21,-10813.8935546875,-9713.142578125,-2.5,35.087188720703125
22,-10813.8935546875,-9713.142578125,-3.5,35.087188720703125
23,-10813.8935546875,-9713.142578125,-4.5,35.21110916137695
24,-10813.8935546875,-9648.2783203125,0.0,33.88346481323242
25,-10813.8935546875,-9648.2783203125,-0.5,33.88346481323242
26,-10813.8935546875,-9648.2783203125,-1.5,34.88249206542969
27,-10813.8935546875,-9648.2783203125,-2.5,35.087188720703125
28,-10813.8935546875,-9648.2783203125,-3.5,35.087188720703125
29,-10813.8935546875,-9648.2783203125,-4.5,35.21110916137695
30,-10813.8935546875,-9583.4130859375,0.0,33.891075134277344
31,-10813.8935546875,-9583.4130859375,-0.5,33.891075134277344
32,-10813.8935546875,-9583.4130859375,-1.5,34.88349914550781
33,-10813.8935546875,-9583.4130859375,-2.5,35.0870361328125
34,-10813.8935546875,-9583.4130859375,-3.5,35.0870361328125
35,-10813.8935546875,-9583.4130859375,-4.5,35.20941925048828
36,-10813.8935546875,-9518.5478515625,0.0,33.891075134277344
37,-10813.8935546875,-9518.5478515625,-0.5,33.891075134277344
38,-10813.8935546875,-9518.5478515625,-1.5,34.88349914550781
39,-10813.8935546875,-9518.5478515625,-2.5,35.0870361328125
40,-10813.8935546875,-9518.5478515625,-3.5,35.0870361328125
41,-10813.8935546875,-9518.5478515625,-4.5,35.20941925048828
42,-10813.8935546875,-9453.68359375,0.0,33.89598083496094
43,-10813.8935546875,-9453.68359375,-0.5,33.89598083496094
44,-10813.8935546875,-9453.68359375,-1.5,34.88203048706055
45,-10813.8935546875,-9453.68359375,-2.5,35.0855598449707
46,-10813.8935546875,-9453.68359375,-3.5,35.0855598449707
47,-10813.8935546875,-9453.68359375,-4.5,35.207149505615234
48,-10813.8935546875,-9388.818359375,0.0,33.90421676635742
49,-10813.8935546875,-9388.818359375,-0.5,33.90421676635742
50,-10813.8935546875,-9388.818359375,-1.5,34.88560104370117
51,-10813.8935546875,-9388.818359375,-2.5,35.08738327026367
52,-10813.8935546875,-9388.818359375,-3.5,35.08738327026367
53,-10813.8935546875,-9388.818359375,-4.5,35.206966400146484
54,-10813.8935546875,-9323.9541015625,0.0,33.923179626464844
55,-10813.8935546875,-9323.9541015625,-0.5,33.923179626464844
56,-10813.8935546875,-9323.9541015625,-1.5,34.89059829711914
57,-10813.8935546875,-9323.9541015625,-2.5,35.08971405029297
58,-10813.8935546875,-9323.9541015625,-3.5,35.08971405029297
59,-10813.8935546875,-9323.9541015625,-4.5,35.206851959228516
60,-10813.8935546875,-9259.0888671875,0.0,33.923179626464844
61,-10813.8935546875,-9259.0888671875,-0.5,33.923179626464844
62,-10813.8935546875,-9259.0888671875,-1.5,34.89059829711914
63,-10813.8935546875,-9259.0888671875,-2.5,35.08971405029297
64,-10813.8935546875,-9259.0888671875,-3.5,35.08971405029297
65,-10813.8935546875,-9259.0888671875,-4.5,35.206851959228516
66,-10813.8935546875,-9194.2236328125,0.0,33.93778610229492
67,-10813.8935546875,-9194.2236328125,-0.5,33.93778610229492
68,-10813.8935546875,-9194.2236328125,-1.5,34.89130401611328
69,-10813.8935546875,-9194.2236328125,-2.5,35.08842086791992
70,-10813.8935546875,-9194.2236328125,-3.5,35.08842086791992
71,-10813.8935546875,-9194.2236328125,-4.5,35.2039794921875
72,-10813.8935546875,-9129.359375,0.0,33.93778610229492
73,-10813.8935546875,-9129.359375,-0.5,33.93778610229492
74,-10813.8935546875,-9129.359375,-1.5,34.89130401611328
75,-10813.8935546875,-9129.359375,-2.5,35.08842086791992
76,-10813.8935546875,-9129.359375,-3.5,35.08842086791992
77,-10813.8935546875,-9129.359375,-4.5,35.2039794921875
78,-10813.8935546875,-9064.494140625,0.0,33.954647064208984
