,x,y,z,salinity
0,-10813.8935546875,-9907.7373046875,0.0,34.481197357177734
1,-10813.8935546875,-9907.7373046875,-0.5,34.481197357177734
2,-10813.8935546875,-9907.7373046875,-1.5,34.656131744384766
3,-10813.8935546875,-9907.7373046875,-2.5,34.80584716796875
4,-10813.8935546875,-9907.7373046875,-3.5,34.97977828979492
5,-10813.8935546875,-9907.7373046875,-4.5,35.14326095581055
6,-10813.8935546875,-9842.873046875,0.0,34.481197357177734
7,-10813.8935546875,-9842.873046875,-0.5,34.481197357177734
8,-10813.8935546875,-9842.873046875,-1.5,34.656131744384766
9,-10813.8935546875,-9842.873046875,-2.5,34.80584716796875
10,-10813.8935546875,-9842.873046875,-3.5,34.97977828979492
11,-10813.8935546875,-9842.873046875,-4.5,35.14326095581055
12,-10813.8935546875,-9778.0078125,0.0,34.46786117553711
13,-10813.8935546875,-9778.0078125,-0.5,34.46786117553711
14,-10813.8935546875,-9778.0078125,-1.5,34.6307373046875
15,-10813.8935546875,-9778.0078125,-2.5,34.78754806518555
16,-10813.8935546875,-9778.0078125,-3.5,34.965919494628906
17,-10813.8935546875,-9778.0078125,-4.5,35.13225555419922
18,-10813.8935546875,-9713.142578125,0.0,34.460933685302734
19,-10813.8935546875,-9713.142578125,-0.5,34.460838317871094
20,-10813.8935546875,-9713.142578125,-1.5,34.60389709472656
21,-10813.8935546875,-9713.142578125,-2.5,34.771888732910156
22,-10813.8935546875,-9713.142578125,-3.5,34.95542907714844
23,-10813.8935546875,-9713.142578125,-4.5,35.123985290527344
24,-10813.8935546875,-9648.2783203125,0.0,34.460933685302734
25,-10813.8935546875,-9648.2783203125,-0.5,34.460838317871094
26,-10813.8935546875,-9648.2783203125,-1.5,34.60389709472656
27,-10813.8935546875,-9648.2783203125,-2.5,34.771888732910156
28,-10813.8935546875,-9648.2783203125,-3.5,34.95542907714844
29,-10813.8935546875,-9648.2783203125,-4.5,35.123985290527344
30,-10813.8935546875,-9583.4130859375,0.0,34.44961929321289
31,-10813.8935546875,-9583.4130859375,-0.5,34.4494743347168
32,-10813.8935546875,-9583.4130859375,-1.5,34.57916259765625
33,-10813.8935546875,-9583.4130859375,-2.5,34.75413513183594
34,-10813.8935546875,-9583.4130859375,-3.5,34.942073822021484
35,-10813.8935546875,-9583.4130859375,-4.5,35.11347198486328
36,-10813.8935546875,-9518.5478515625,0.0,34.44961929321289
37,-10813.8935546875,-9518.5478515625,-0.5,34.4494743347168
38,-10813.8935546875,-9518.5478515625,-1.5,34.57916259765625
39,-10813.8935546875,-9518.5478515625,-2.5,34.75413513183594
40,-10813.8935546875,-9518.5478515625,-3.5,34.942073822021484
41,-10813.8935546875,-9518.5478515625,-4.5,35.11347198486328
42,-10813.8935546875,-9453.68359375,0.0,34.43888473510742
43,-10813.8935546875,-9453.68359375,-0.5,34.43871307373047
44,-10813.8935546875,-9453.68359375,-1.5,34.5528564453125
45,-10813.8935546875,-9453.68359375,-2.5,34.73396301269531
46,-10813.8935546875,-9453.68359375,-3.5,34.92640686035156
47,-10813.8935546875,-9453.68359375,-4.5,35.10096740722656
48,-10813.8935546875,-9388.818359375,0.0,34.44524002075195
49,-10813.8935546875,-9388.818359375,-0.5,34.445064544677734
50,-10813.8935546875,-9388.818359375,-1.5,34.55183410644531
51,-10813.8935546875,-9388.818359375,-2.5,34.735015869140625
52,-10813.8935546875,-9388.818359375,-3.5,34.92800521850586
53,-10813.8935546875,-9388.818359375,-4.5,35.10174560546875
54,-10813.8935546875,-9323.9541015625,0.0,34.43513488769531
55,-10813.8935546875,-9323.9541015625,-0.5,34.43498611450195
56,-10813.8935546875,-9323.9541015625,-1.5,34.53248977661133
57,-10813.8935546875,-9323.9541015625,-2.5,34.72014236450195
58,-10813.8935546875,-9323.9541015625,-3.5,34.91715621948242
59,-10813.8935546875,-9323.9541015625,-4.5,35.09389114379883
60,-10813.8935546875,-9259.0888671875,0.0,34.43513488769531
61,-10813.8935546875,-9259.0888671875,-0.5,34.43498611450195
62,-10813.8935546875,-9259.0888671875,-1.5,34.53248977661133
63,-10813.8935546875,-9259.0888671875,-2.5,34.72014236450195
64,-10813.8935546875,-9259.0888671875,-3.5,34.91715621948242
65,-10813.8935546875,-9259.0888671875,-4.5,35.09389114379883
66,-10813.8935546875,-9194.2236328125,0.0,34.4254150390625
67,-10813.8935546875,-9194.2236328125,-0.5,34.42518997192383
68,-10813.8935546875,-9194.2236328125,-1.5,34.50833511352539
69,-10813.8935546875,-9194.2236328125,-2.5,34.6987419128418
70,-10813.8935546875,-9194.2236328125,-3.5,34.89988708496094
71,-10813.8935546875,-9194.2236328125,-4.5,35.079898834228516
72,-10813.8935546875,-9129.359375,0.0,34.4254150390625
73,-10813.8935546875,-9129.359375,-0.5,34.42518997192383
74,-10813.8935546875,-9129.359375,-1.5,34.50833511352539
75,-10813.8935546875,-9129.359375,-2.5,34.6987419128418
76,-10813.8935546875,-9129.359375,-3.5,34.89988708496094
77,-10813.8935546875,-9129.359375,-4.5,35.079898834228516
78,-10813.8935546875,-9064.494140625,0.0,34.41603469848633
79,-10813.8935546875,-9064.494140625,-0.5,34.41576385498047
80,-10813.8935546875,-9064.494140625,-1.5,34.48703384399414
81,-10813.8935546875,-9064.494140625,-2.5,34.67927169799805
82,-10813.8935546875,-9064.494140625,-3.5,34.88422775268555
83,-10813.8935546875,-9064.494140625,-4.5,35.06765365600586
84,-10813.8935546875,-8999.62890625,0.0,34.4233512878418
85,-10813.8935546875,-8999.62890625,-0.5,34.42310333251953
86,-10813.8935546875,-8999.62890625,-1.5,34.48880386352539
87,-10813.8935546875,-8999.62890625,-2.5,34.68206024169922
88,-10813.8935546875,-8999.62890625,-3.5,34.887149810791016
89,-10813.8935546875,-8999.62890625,-4.5,35.069480895996094
90,-10813.8935546875,-8934.7646484375,0.0,34.414459228515625
91,-10813.8935546875,-8934.7646484375,-0.5,34.41421890258789
92,-10813.8935546875,-8934.7646484375,-1.5,34.46992874145508
93,-10813.8935546875,-8934.7646484375,-2.5,34.66322708129883
94,-10813.8935546875,-8934.7646484375,-3.5,34.871334075927734
