timestamp,wind_direction,wind_level,tide
1489154400.0000033,South,Moderate,Flood
1489156199.9999967,South,Moderate,Flood
1489158000.0,South,Moderate,Flood
1489159800.0000033,West,Moderate,Flood
1489161599.9999967,West,Moderate,Flood
1489163400.0,West,Moderate,Flood
1489165200.0000033,West,Moderate,Flood
1489166999.9999967,West,Moderate,Flood
1489168800.0,West,Moderate,Flood
1489170600.0000033,South,Moderate,Flood
1489172399.9999967,South,Moderate,Flood
1489174200.0,South,Moderate,Flood
1489176000.0000033,South,Moderate,Flood
1489177799.9999967,South,Moderate,Flood
1489179600.0,South,Moderate,Flood
1489181400.0000033,South,Moderate,Flood
1489183199.9999967,South,Moderate,Flood
1489185000.0,South,Moderate,Flood
1489186800.0000033,South,Moderate,Flood
1489188599.9999967,South,Moderate,Flood
1489190400.0,South,Moderate,Flood
1489192200.0000033,West,Moderate,Flood
1489193999.9999967,West,Moderate,Flood
1489195800.0,West,Moderate,Flood
1489197600.0000033,West,Moderate,Flood
1489199399.9999967,West,Moderate,Flood
1489201200.0,West,Moderate,Flood
1489203000.0000033,West,Heavy,Flood
1489204799.9999967,West,Heavy,Flood
1489206600.0,West,Heavy,Flood
1489208400.0000033,West,Heavy,Flood
1489210199.9999967,West,Heavy,Flood
1489212000.0,West,Heavy,Flood
1489213800.0000033,North,Heavy,Flood
1489215599.9999967,North,Heavy,Flood
1489217400.0,North,Heavy,Flood
1489219200.0000033,North,Heavy,Flood
1489220999.9999967,North,Heavy,Flood
1489222800.0,North,Heavy,Flood
1489224600.0000033,North,Heavy,Flood
1489226399.9999967,North,Heavy,Flood
1489228200.0,North,Heavy,Flood
1489230000.0000033,North,Heavy,Flood
1489231799.9999967,North,Heavy,Flood
1489233600.0,North,Heavy,Flood
1489235400.0000033,North,Heavy,Flood
1489237199.9999967,North,Heavy,Flood
1489239000.0,North,Heavy,Flood
1489240800.0000033,North,Heavy,Flood
1489242599.9999967,North,Heavy,Flood
1489244400.0,North,Heavy,Flood
1489246200.0000033,North,Heavy,Flood
1489247999.9999967,North,Heavy,Flood
1489249800.0,North,Heavy,Flood
1489251600.0000033,North,Heavy,Flood
1489253399.9999967,North,Heavy,Flood
1489255200.0,North,Heavy,Flood
1489257000.0000033,North,Heavy,Flood
1489258799.9999967,North,Heavy,Flood
1489260600.0,North,Heavy,Flood
1489262400.0000033,North,Heavy,Flood
1489264199.9999967,North,Heavy,Flood
1489266000.0,North,Heavy,Flood
1489267800.0000033,North,Heavy,Flood
1489269599.9999967,North,Heavy,Flood
1489271400.0,North,Heavy,Flood
1489273200.0000033,North,Heavy,Flood
1489274999.9999967,North,Heavy,Flood
1489276800.0,North,Heavy,Flood
1489278600.0000033,North,Heavy,Flood
1489280399.9999967,North,Heavy,Flood
1489282200.0,North,Heavy,Flood
1489284000.0000033,North,Heavy,Flood
1489285799.9999967,North,Heavy,Flood
1489287600.0,North,Heavy,Flood
1489289400.0000033,North,Heavy,Flood
1489291199.9999967,North,Heavy,Flood
1489293000.0,North,Heavy,Flood
1489294800.0000033,North,Heavy,Flood
1489296599.9999967,North,Heavy,Flood
1489298400.0,North,Heavy,Flood
1489300200.0000033,North,Heavy,Flood
1489301999.9999967,North,Heavy,Flood
1489303800.0,North,Heavy,Flood
1489305600.0000033,North,Heavy,Flood
1489307399.9999967,North,Heavy,Flood
1489309200.0,North,Heavy,Flood
1489311000.0000033,North,Heavy,Flood
1489312799.9999967,North,Heavy,Flood
1489314600.0,North,Heavy,Flood
1489316400.0000033,North,Heavy,Flood
1489318199.9999967,North,Heavy,Flood
1489320000.0,North,Heavy,Flood
1489321800.0000033,North,Heavy,Flood
1489323599.9999967,North,Heavy,Flood
1489325400.0,North,Heavy,Flood
1489327200.0000033,North,Heavy,Flood
1489328999.9999967,North,Heavy,Flood
1489330800.0,North,Heavy,Flood
1489332600.0000033,North,Heavy,Flood
1489334399.9999967,North,Heavy,Flood
1489336200.0,North,Heavy,Flood
1489338000.0000033,North,Heavy,Flood
1489339799.9999967,North,Heavy,Flood
1489341600.0,North,Heavy,Flood
1489343400.0000033,North,Heavy,Flood
1489345199.9999967,North,Heavy,Flood
1489347000.0,North,Heavy,Flood
1489348800.0000033,North,Heavy,Flood
1489350599.9999967,North,Heavy,Flood
1489352400.0,North,Heavy,Flood
1489354200.0000033,North,Heavy,Flood
1489355999.9999967,North,Heavy,Flood
1489357800.0,North,Heavy,Flood
1489359600.0000033,North,Heavy,Flood
1489361399.9999967,North,Heavy,Flood
1489363200.0,North,Heavy,Flood
1489365000.0000033,North,Heavy,Flood
1489366799.9999967,North,Heavy,Flood
1489368600.0,North,Heavy,Flood
1489370400.0000033,North,Heavy,Flood
1489372199.9999967,North,Heavy,Flood
1489374000.0,North,Heavy,Flood
1489375800.0000033,North,Heavy,Flood
1489377599.9999967,North,Heavy,Flood
1489379400.0,North,Heavy,Flood
1489381200.0000033,North,Heavy,Flood
1489382999.9999967,North,Heavy,Flood
1489384800.0,North,Heavy,Flood
1489386600.0000033,North,Heavy,Flood
1489388399.9999967,North,Heavy,Flood
1489390200.0,North,Heavy,Flood
1489392000.0000033,North,Heavy,Flood
1489393799.9999967,North,Heavy,Flood
1489395600.0,North,Heavy,Flood
1489397400.0000033,North,Heavy,Flood
1489399199.9999967,North,Heavy,Flood
1489401000.0,North,Heavy,Flood
1489402800.0000033,North,Heavy,Flood
1489404599.9999967,North,Heavy,Flood
1489406400.0,North,Heavy,Flood
1489408200.0000033,North,Heavy,Flood
1489409999.9999967,North,Heavy,Flood
1489411800.0,North,Heavy,Flood
1489413600.0000033,North,Heavy,Flood
1489415399.9999967,North,Heavy,Flood
1489417200.0,North,Heavy,Flood
1489419000.0000033,North,Heavy,Flood
1489420799.9999967,North,Heavy,Flood
1489422600.0,North,Heavy,Flood
1489424400.0000033,North,Heavy,Flood
1489426199.9999967,North,Heavy,Flood
1489428000.0,North,Heavy,Flood
1489429800.0000033,North,Heavy,Flood
1489431599.9999967,North,Heavy,Flood
1489433400.0,North,Heavy,Flood
1489435200.0000033,North,Heavy,Flood
1489436999.9999967,North,Heavy,Flood
1489438800.0,North,Heavy,Flood
1489440600.0000033,North,Heavy,Flood
1489442399.9999967,North,Heavy,Flood
1489444200.0,North,Heavy,Flood
1489446000.0000033,North,Heavy,Flood
1489447799.9999967,North,Heavy,Flood
1489449600.0,North,Heavy,Flood
1489451400.0000033,North,Heavy,Flood
1489453199.9999967,North,Heavy,Flood
1489455000.0,North,Heavy,Flood
1489456800.0000033,North,Heavy,Flood
1489458599.9999967,North,Heavy,Flood
1489460400.0,North,Heavy,Flood
1489462200.0000033,North,Heavy,Flood
1489463999.9999967,North,Heavy,Flood
1489465800.0,North,Heavy,Flood
1489467600.0000033,North,Heavy,Flood
1489469399.9999967,North,Heavy,Flood
1489471200.0,North,Heavy,Flood
1489473000.0000033,North,Heavy,Flood
1489474799.9999967,North,Heavy,Flood
1489476600.0,North,Heavy,Flood
1489478400.0000033,North,Heavy,Flood
1489480199.9999967,North,Heavy,Flood
1489482000.0,North,Heavy,Flood
1489483800.0000033,North,Heavy,Flood
1489485599.9999967,North,Heavy,Flood
1489487400.0,North,Heavy,Flood
1489489200.0000033,North,Heavy,Flood
1489490999.9999967,North,Heavy,Flood
1489492800.0,North,Heavy,Flood
1489494600.0000033,North,Heavy,Flood
1489496399.9999967,North,Heavy,Flood
1489498200.0,North,Heavy,Flood
1489500000.0000033,North,Heavy,Flood
1489501799.9999967,North,Heavy,Flood
1489503600.0,North,Heavy,Flood
1489505400.0000033,North,Moderate,Flood
1489507199.9999967,North,Moderate,Flood
1489509000.0,North,Moderate,Flood
1489510800.0000033,North,Moderate,Flood
1489512599.9999967,North,Moderate,Flood
1489514400.0,North,Moderate,Flood
