timestamp,wind_direction,wind_level,tide
1551398400.0,North,Moderate,Ebb
1551400200.0000033,North,Heavy,Ebb
1551401999.9999967,North,Heavy,Ebb
1551403800.0,North,Heavy,Ebb
1551405600.0000033,North,Heavy,Ebb
1551407399.9999967,North,Heavy,Ebb
1551409200.0,North,Heavy,Ebb
1551411000.0000033,North,Heavy,Ebb
1551412799.9999967,North,Heavy,Ebb
1551414600.0,North,Heavy,Ebb
1551416400.0000033,North,Heavy,Ebb
1551418199.9999967,North,Heavy,Ebb
1551420000.0,North,Heavy,Ebb
1551421800.0000033,North,Moderate,Ebb
1551423599.9999967,North,Moderate,Ebb
1551425400.0,North,Moderate,Ebb
1551427200.0000033,North,Moderate,Ebb
1551428999.9999967,North,Moderate,Ebb
1551430800.0,North,Moderate,Ebb
1551432600.0000033,North,Moderate,Ebb
1551434399.9999967,North,Moderate,Ebb
1551436200.0,North,Moderate,Ebb
1551438000.0000033,North,Moderate,Ebb
1551439799.9999967,North,Moderate,Ebb
1551441600.0,North,Moderate,Ebb
1551443400.0000033,West,Moderate,Ebb
1551445199.9999967,West,Moderate,Ebb
1551447000.0,West,Moderate,Ebb
1551448800.0000033,West,Moderate,Ebb
1551450599.9999967,West,Moderate,Ebb
1551452400.0,West,Moderate,Ebb
1551454200.0000033,North,Moderate,Ebb
1551455999.9999967,North,Moderate,Ebb
1551457800.0,North,Moderate,Ebb
1551459600.0000033,North,Moderate,Ebb
1551461399.9999967,North,Moderate,Ebb
1551463200.0,North,Moderate,Ebb
1551465000.0000033,West,Moderate,Ebb
1551466799.9999967,West,Moderate,Ebb
1551468600.0,West,Moderate,Ebb
1551470400.0000033,West,Moderate,Ebb
1551472199.9999967,West,Moderate,Ebb
1551474000.0,West,Moderate,Ebb
1551475800.0000033,West,Moderate,Ebb
1551477599.9999967,West,Moderate,Ebb
1551479400.0,West,Moderate,Ebb
1551481200.0000033,West,Moderate,Ebb
1551482999.9999967,West,Moderate,Ebb
1551484800.0,West,Moderate,Ebb
1551486600.0000033,North,Moderate,Ebb
1551488399.9999967,North,Moderate,Ebb
1551490200.0,North,Moderate,Ebb
1551492000.0000033,North,Moderate,Ebb
1551493799.9999967,North,Moderate,Ebb
1551495600.0,North,Moderate,Ebb
1551497400.0000033,North,Mild,Ebb
1551499199.9999967,North,Mild,Ebb
1551501000.0,North,Mild,Ebb
1551502800.0000033,North,Mild,Ebb
1551504599.9999967,North,Mild,Ebb
1551506400.0,North,Mild,Ebb
1551508200.0000033,West,Mild,Ebb
1551509999.9999967,West,Mild,Ebb
1551511800.0,West,Mild,Ebb
1551513600.0000033,West,Mild,Ebb
1551515399.9999967,West,Mild,Ebb
1551517200.0,West,Mild,Ebb
1551519000.0000033,West,Mild,Ebb
1551520799.9999967,West,Mild,Ebb
1551522600.0,West,Mild,Ebb
1551524400.0000033,West,Mild,Ebb
1551526199.9999967,West,Mild,Ebb
1551528000.0,West,Mild,Ebb
1551529800.0000033,West,Moderate,Ebb
1551531599.9999967,West,Moderate,Ebb
1551533400.0,West,Moderate,Ebb
1551535200.0000033,West,Moderate,Ebb
1551536999.9999967,West,Moderate,Ebb
1551538800.0,West,Moderate,Ebb
1551540600.0000033,West,Moderate,Ebb
1551542399.9999967,West,Moderate,Ebb
1551544200.0,West,Moderate,Ebb
1551546000.0000033,West,Moderate,Ebb
1551547799.9999967,West,Moderate,Ebb
1551549600.0,West,Moderate,Ebb
1551551400.0000033,West,Moderate,Ebb
1551553199.9999967,West,Moderate,Ebb
1551555000.0,West,Moderate,Ebb
1551556800.0000033,West,Moderate,Ebb
1551558599.9999967,West,Moderate,Ebb
1551560400.0,West,Moderate,Ebb
1551562200.0000033,South,Moderate,Ebb
1551563999.9999967,South,Moderate,Ebb
1551565800.0,South,Moderate,Ebb
1551567600.0000033,South,Moderate,Ebb
1551569399.9999967,South,Moderate,Ebb
1551571200.0,South,Moderate,Ebb
1551573000.0000033,South,Heavy,Ebb
1551574799.9999967,South,Heavy,Ebb
1551576600.0,South,Heavy,Ebb
1551578400.0000033,South,Heavy,Ebb
1551580199.9999967,South,Heavy,Ebb
1551582000.0,South,Heavy,Ebb
1551583800.0000033,South,Heavy,Ebb
1551585599.9999967,South,Heavy,Ebb
1551587400.0,South,Heavy,Ebb
1551589200.0000033,South,Heavy,Ebb
1551590999.9999967,South,Heavy,Ebb
1551592800.0,South,Heavy,Ebb
1551594600.0000033,South,Heavy,Ebb
1551596399.9999967,South,Heavy,Ebb
1551598200.0,South,Heavy,Ebb
1551600000.0000033,South,Heavy,Ebb
1551601799.9999967,South,Heavy,Ebb
1551603600.0,South,Heavy,Ebb
1551605400.0000033,South,Heavy,Ebb
1551607199.9999967,South,Heavy,Ebb
1551609000.0,South,Heavy,Ebb
1551610800.0000033,South,Heavy,Ebb
1551612599.9999967,South,Heavy,Ebb
1551614400.0,South,Heavy,Ebb
1551616200.0000033,South,Heavy,Ebb
1551617999.9999967,South,Heavy,Ebb
1551619800.0,South,Heavy,Ebb
1551621600.0000033,South,Heavy,Ebb
1551623399.9999967,South,Heavy,Ebb
1551625200.0,South,Heavy,Ebb
1551627000.0000033,South,Heavy,Ebb
1551628799.9999967,South,Heavy,Ebb
1551630600.0,South,Heavy,Ebb
1551632400.0000033,South,Heavy,Ebb
1551634199.9999967,South,Heavy,Ebb
1551636000.0,South,Heavy,Ebb
1551637800.0000033,West,Heavy,Ebb
1551639599.9999967,West,Heavy,Ebb
1551641400.0,West,Heavy,Ebb
1551643200.0000033,West,Heavy,Ebb
1551644999.9999967,West,Heavy,Ebb
1551646800.0,West,Heavy,Ebb
1551648600.0000033,West,Heavy,Ebb
1551650399.9999967,West,Heavy,Ebb
1551652200.0,West,Heavy,Ebb
1551654000.0000033,West,Heavy,Ebb
1551655799.9999967,West,Heavy,Ebb
1551657600.0,West,Heavy,Ebb
1551659400.0000033,West,Heavy,Ebb
1551661199.9999967,West,Heavy,Ebb
1551663000.0,West,Heavy,Ebb
1551664800.0000033,West,Heavy,Ebb
1551666599.9999967,West,Heavy,Ebb
1551668400.0,West,Heavy,Ebb
1551670200.0000033,West,Heavy,Ebb
1551671999.9999967,West,Heavy,Ebb
1551673800.0,West,Heavy,Ebb
1551675600.0000033,West,Heavy,Ebb
1551677399.9999967,West,Heavy,Ebb
1551679200.0,West,Heavy,Ebb
1551681000.0000033,West,Moderate,Ebb
1551682799.9999967,West,Moderate,Ebb
1551684600.0,West,Moderate,Ebb
1551686400.0000033,West,Moderate,Ebb
1551688199.9999967,West,Moderate,Ebb
1551690000.0,West,Moderate,Ebb
1551691800.0000033,West,Moderate,Ebb
1551693599.9999967,West,Moderate,Ebb
1551695400.0,West,Moderate,Ebb
1551697200.0000033,West,Moderate,Ebb
1551698999.9999967,West,Moderate,Ebb
1551700800.0,West,Moderate,Ebb
1551702600.0000033,West,Moderate,Ebb
1551704399.9999967,West,Moderate,Ebb
1551706200.0,West,Moderate,Ebb
1551708000.0000033,West,Moderate,Ebb
1551709799.9999967,West,Moderate,Ebb
1551711600.0,West,Moderate,Ebb
1551713400.0000033,West,Moderate,Ebb
1551715199.9999967,West,Moderate,Ebb
1551717000.0,West,Moderate,Ebb
1551718800.0000033,West,Moderate,Ebb
1551720599.9999967,West,Moderate,Ebb
1551722400.0,West,Moderate,Ebb
1551724200.0000033,South,Moderate,Ebb
1551725999.9999967,South,Moderate,Ebb
1551727800.0,South,Moderate,Ebb
1551729600.0000033,South,Moderate,Ebb
1551731399.9999967,South,Moderate,Ebb
1551733200.0,South,Moderate,Ebb
1551735000.0000033,South,Heavy,Ebb
1551736799.9999967,South,Heavy,Ebb
1551738600.0,South,Heavy,Ebb
1551740400.0000033,South,Heavy,Ebb
1551742199.9999967,South,Heavy,Ebb
1551744000.0,South,Heavy,Ebb
1551745800.0000033,South,Heavy,Ebb
1551747599.9999967,South,Heavy,Ebb
1551749400.0,South,Heavy,Ebb
1551751200.0000033,South,Heavy,Ebb
1551752999.9999967,South,Heavy,Ebb
1551754800.0,South,Heavy,Ebb
1551756600.0000033,South,Heavy,Ebb
1551758399.9999967,South,Heavy,Ebb
1551760200.0,South,Heavy,Ebb
1551762000.0000033,South,Heavy,Ebb
1551763799.9999967,South,Heavy,Ebb
1551765600.0,South,Heavy,Ebb
1551767400.0000033,South,Heavy,Ebb
1551769199.9999967,South,Heavy,Ebb
1551771000.0,South,Heavy,Ebb
1551772800.0000033,South,Heavy,Ebb
1551774599.9999967,South,Heavy,Ebb
1551776400.0,South,Heavy,Ebb
1551778200.0000033,South,Heavy,Ebb
1551779999.9999967,South,Heavy,Ebb
1551781800.0,South,Heavy,Ebb
1551783600.0000033,South,Heavy,Ebb
1551785399.9999967,South,Heavy,Ebb
1551787200.0,South,Heavy,Ebb
1551789000.0000033,South,Heavy,Ebb
1551790799.9999967,South,Heavy,Ebb
1551792600.0,South,Heavy,Ebb
1551794400.0000033,South,Heavy,Ebb
1551796199.9999967,South,Heavy,Ebb
1551798000.0,South,Heavy,Ebb
1551799800.0000033,South,Heavy,Ebb
1551801599.9999967,South,Heavy,Ebb
1551803400.0,South,Heavy,Ebb
1551805200.0000033,South,Heavy,Ebb
1551806999.9999967,South,Heavy,Ebb
1551808800.0,South,Heavy,Ebb
1551810600.0000033,South,Heavy,Ebb
1551812399.9999967,South,Heavy,Ebb
1551814200.0,South,Heavy,Ebb
