timestamp,wind_direction,wind_level,tide
1541894400.0,South,Heavy,Flood
1541896200.0000033,South,Heavy,Flood
1541897999.9999967,South,Heavy,Flood
1541899800.0,South,Heavy,Flood
1541901600.0000033,South,Heavy,Flood
1541903399.9999967,South,Heavy,Flood
1541905200.0,South,Heavy,Flood
1541907000.0000033,West,Heavy,Flood
1541908799.9999967,West,Heavy,Ebb
1541910600.0,West,Heavy,Ebb
1541912400.0000033,West,Heavy,Ebb
1541914199.9999967,West,Heavy,Ebb
1541916000.0,West,Heavy,Ebb
1541917800.0000033,West,Moderate,Ebb
1541919599.9999967,West,Moderate,Ebb
1541921400.0,West,Moderate,Ebb
1541923200.0000033,West,Moderate,Ebb
1541924999.9999967,West,Moderate,Ebb
1541926800.0,West,Moderate,Ebb
1541928600.0000033,South,Moderate,Ebb
1541930399.9999967,South,Moderate,Flood
1541932200.0,South,Moderate,Flood
1541934000.0000033,South,Moderate,Flood
1541935799.9999967,South,Moderate,Flood
1541937600.0,South,Moderate,Flood
1541939400.0000033,South,Heavy,Flood
1541941199.9999967,South,Heavy,Flood
1541943000.0,South,Heavy,Flood
1541944800.0000033,South,Heavy,Flood
1541946599.9999967,South,Heavy,Flood
1541948400.0,South,Heavy,Flood
1541950200.0000033,South,Moderate,Flood
1541951999.9999967,South,Moderate,Flood
1541953800.0,South,Moderate,Ebb
1541955600.0000033,South,Moderate,Ebb
1541957399.9999967,South,Moderate,Ebb
1541959200.0,South,Moderate,Ebb
1541961000.0000033,South,Moderate,Ebb
1541962799.9999967,South,Moderate,Ebb
1541964600.0,South,Moderate,Ebb
1541966400.0000033,South,Moderate,Ebb
1541968199.9999967,South,Moderate,Ebb
1541970000.0,South,Moderate,Ebb
1541971800.0000033,West,Moderate,Ebb
1541973599.9999967,West,Moderate,Ebb
1541975400.0,West,Moderate,Flood
1541977200.0000033,West,Moderate,Flood
1541978999.9999967,West,Moderate,Flood
1541980800.0,West,Moderate,Flood
1541982600.0000033,West,Mild,Flood
1541984399.9999967,West,Mild,Flood
1541986200.0,West,Mild,Flood
1541988000.0000033,West,Mild,Flood
1541989799.9999967,West,Mild,Flood
1541991600.0,West,Mild,Flood
1541993400.0000033,North,Mild,Flood
1541995199.9999967,North,Mild,Flood
1541997000.0,North,Mild,Ebb
1541998800.0000033,North,Mild,Ebb
1542000599.9999967,North,Mild,Ebb
1542002400.0,North,Mild,Ebb
1542004200.0000033,East,Moderate,Ebb
1542005999.9999967,East,Moderate,Ebb
1542007800.0,East,Moderate,Ebb
1542009600.0000033,East,Moderate,Ebb
1542011399.9999967,East,Moderate,Ebb
1542013200.0,East,Moderate,Ebb
1542015000.0000033,South,Mild,Ebb
1542016799.9999967,South,Mild,Ebb
1542018600.0,South,Mild,Ebb
1542020400.0000033,South,Mild,Flood
1542022199.9999967,South,Mild,Flood
1542024000.0,South,Mild,Flood
1542025800.0000033,North,Mild,Flood
1542027599.9999967,North,Mild,Flood
1542029400.0,North,Mild,Flood
1542031200.0000033,North,Mild,Flood
1542032999.9999967,North,Mild,Flood
1542034800.0,North,Mild,Flood
1542036600.0000033,North,Moderate,Flood
1542038399.9999967,North,Moderate,Flood
1542040200.0,North,Moderate,Flood
1542042000.0000033,North,Moderate,Ebb
1542043799.9999967,North,Moderate,Ebb
1542045600.0,North,Moderate,Ebb
1542047400.0000033,North,Moderate,Ebb
1542049199.9999967,North,Moderate,Ebb
1542051000.0,North,Moderate,Ebb
1542052800.0000033,North,Moderate,Ebb
1542054599.9999967,North,Moderate,Ebb
1542056400.0,North,Moderate,Ebb
1542058200.0000033,North,Moderate,Ebb
1542059999.9999967,North,Moderate,Ebb
1542061800.0,North,Moderate,Ebb
1542063600.0000033,North,Moderate,Flood
1542065399.9999967,North,Moderate,Flood
1542067200.0,North,Moderate,Flood
1542069000.0000033,North,Moderate,Flood
1542070799.9999967,North,Moderate,Flood
1542072600.0,North,Moderate,Flood
1542074400.0000033,North,Moderate,Flood
1542076199.9999967,North,Moderate,Flood
1542078000.0,North,Moderate,Flood
1542079800.0000033,North,Moderate,Flood
1542081599.9999967,North,Moderate,Flood
1542083400.0,North,Moderate,Flood
1542085200.0000033,North,Moderate,Flood
1542086999.9999967,North,Moderate,Ebb
1542088800.0,North,Moderate,Ebb
1542090600.0000033,North,Moderate,Ebb
1542092399.9999967,North,Moderate,Ebb
1542094200.0,North,Moderate,Ebb
1542096000.0000033,North,Moderate,Ebb
1542097799.9999967,North,Moderate,Ebb
1542099600.0,North,Moderate,Ebb
1542101400.0000033,North,Moderate,Ebb
1542103199.9999967,North,Moderate,Ebb
1542105000.0,North,Moderate,Ebb
1542106800.0000033,North,Moderate,Ebb
1542108599.9999967,North,Moderate,Flood
1542110400.0,North,Moderate,Flood
1542112200.0000033,North,Moderate,Flood
1542113999.9999967,North,Moderate,Flood
1542115800.0,North,Moderate,Flood
1542117600.0000033,North,Moderate,Flood
1542119399.9999967,North,Moderate,Flood
1542121200.0,North,Moderate,Flood
1542123000.0000033,North,Moderate,Flood
1542124799.9999967,North,Moderate,Flood
1542126600.0,North,Moderate,Flood
1542128400.0000033,North,Moderate,Flood
1542130199.9999967,North,Moderate,Flood
1542132000.0,North,Moderate,Ebb
1542133800.0000033,North,Moderate,Ebb
1542135599.9999967,North,Moderate,Ebb
1542137400.0,North,Moderate,Ebb
1542139200.0000033,North,Moderate,Ebb
1542140999.9999967,North,Moderate,Ebb
1542142800.0,North,Moderate,Ebb
1542144600.0000033,East,Moderate,Ebb
1542146399.9999967,East,Moderate,Ebb
1542148200.0,East,Moderate,Ebb
1542150000.0000033,East,Moderate,Ebb
1542151799.9999967,East,Moderate,Ebb
1542153600.0,East,Moderate,Flood
1542155400.0000033,East,Moderate,Flood
1542157199.9999967,East,Moderate,Flood
1542159000.0,East,Moderate,Flood
1542160800.0000033,East,Moderate,Flood
1542162599.9999967,East,Moderate,Flood
1542164400.0,East,Moderate,Flood
1542166200.0000033,East,Moderate,Flood
1542167999.9999967,East,Moderate,Flood
1542169800.0,East,Moderate,Flood
1542171600.0000033,East,Moderate,Flood
1542173399.9999967,East,Moderate,Flood
1542175200.0,East,Moderate,Ebb
1542177000.0000033,East,Moderate,Ebb
1542178799.9999967,East,Moderate,Ebb
1542180600.0,East,Moderate,Ebb
1542182400.0000033,East,Moderate,Ebb
1542184199.9999967,East,Moderate,Ebb
1542186000.0,East,Moderate,Ebb
1542187800.0000033,East,Moderate,Ebb
1542189599.9999967,East,Moderate,Ebb
1542191400.0,East,Moderate,Ebb
1542193200.0000033,East,Moderate,Ebb
1542194999.9999967,East,Moderate,Ebb
1542196800.0,East,Moderate,Ebb
1542198600.0000033,South,Mild,Flood
1542200399.9999967,South,Mild,Flood
1542202200.0,South,Mild,Flood
1542204000.0000033,South,Mild,Flood
1542205799.9999967,South,Mild,Flood
1542207600.0,South,Mild,Flood
1542209400.0000033,West,Mild,Flood
1542211199.9999967,West,Mild,Flood
1542213000.0,West,Mild,Flood
1542214800.0000033,West,Mild,Flood
1542216599.9999967,West,Mild,Flood
1542218400.0,West,Mild,Flood
1542220200.0000033,East,Mild,Flood
1542221999.9999967,East,Mild,Ebb
1542223800.0,East,Mild,Ebb
1542225600.0000033,East,Mild,Ebb
1542227399.9999967,East,Mild,Ebb
1542229200.0,East,Mild,Ebb
1542231000.0000033,East,Moderate,Ebb
1542232799.9999967,East,Moderate,Ebb
1542234600.0,East,Moderate,Ebb
1542236400.0000033,East,Moderate,Ebb
1542238199.9999967,East,Moderate,Ebb
1542240000.0,East,Moderate,Ebb
1542241800.0000033,East,Moderate,Ebb
1542243599.9999967,East,Moderate,Flood
1542245400.0,East,Moderate,Flood
1542247200.0000033,East,Moderate,Flood
1542248999.9999967,East,Moderate,Flood
1542250800.0,East,Moderate,Flood
1542252600.0000033,East,Moderate,Flood
1542254399.9999967,East,Moderate,Flood
1542256200.0,East,Moderate,Flood
1542258000.0000033,East,Moderate,Flood
1542259799.9999967,East,Moderate,Flood
1542261600.0,East,Moderate,Flood
1542263400.0000033,East,Moderate,Flood
1542265199.9999967,East,Moderate,Flood
1542267000.0,East,Moderate,Ebb
1542268800.0000033,East,Moderate,Ebb
1542270599.9999967,East,Moderate,Ebb
1542272400.0,East,Moderate,Ebb
1542274200.0000033,East,Moderate,Ebb
1542275999.9999967,East,Moderate,Ebb
1542277800.0,East,Moderate,Ebb
1542279600.0000033,East,Moderate,Ebb
1542281399.9999967,East,Moderate,Ebb
1542283200.0,East,Moderate,Ebb
1542285000.0000033,East,Mild,Ebb
1542286799.9999967,East,Mild,Ebb
1542288600.0,East,Mild,Flood
1542290400.0000033,East,Mild,Flood
1542292199.9999967,East,Mild,Flood
1542294000.0,East,Mild,Flood
1542295800.0000033,North,Moderate,Flood
1542297599.9999967,North,Moderate,Flood
1542299400.0,North,Moderate,Flood
1542301200.0000033,North,Moderate,Flood
1542302999.9999967,North,Moderate,Flood
1542304800.0,North,Moderate,Flood
1542306600.0000033,East,Moderate,Flood
1542308399.9999967,East,Moderate,Flood
1542310200.0,East,Moderate,Flood
1542312000.0000033,East,Moderate,Ebb
1542313799.9999967,East,Moderate,Ebb
1542315600.0,East,Moderate,Ebb
1542317400.0000033,South,Moderate,Ebb
1542319199.9999967,South,Moderate,Ebb
1542321000.0,South,Moderate,Ebb
1542322800.0000033,South,Moderate,Ebb
1542324599.9999967,South,Moderate,Ebb
1542326400.0,South,Moderate,Ebb
1542328200.0000033,East,Moderate,Ebb
1542329999.9999967,East,Moderate,Ebb
1542331800.0,East,Moderate,Ebb
1542333600.0000033,East,Moderate,Flood
1542335399.9999967,East,Moderate,Flood
1542337200.0,East,Moderate,Flood
1542339000.0000033,South,Moderate,Flood
1542340799.9999967,South,Moderate,Flood
1542342600.0,South,Moderate,Flood
1542344400.0000033,South,Moderate,Flood
1542346199.9999967,South,Moderate,Flood
1542348000.0,South,Moderate,Flood
1542349800.0000033,South,Moderate,Flood
1542351599.9999967,South,Moderate,Flood
1542353400.0,South,Moderate,Flood
1542355200.0000033,South,Moderate,Flood
1542356999.9999967,South,Moderate,Ebb
1542358800.0,South,Moderate,Ebb
1542360600.0000033,East,Moderate,Ebb
1542362399.9999967,East,Moderate,Ebb
1542364200.0,East,Moderate,Ebb
1542366000.0000033,East,Moderate,Ebb
1542367799.9999967,East,Moderate,Ebb
1542369600.0,East,Moderate,Ebb
1542371400.0000033,South,Moderate,Ebb
1542373199.9999967,South,Moderate,Ebb
1542375000.0,South,Moderate,Ebb
1542376800.0000033,South,Moderate,Ebb
1542378599.9999967,South,Moderate,Ebb
1542380400.0,South,Moderate,Flood
1542382200.0000033,South,Moderate,Flood
1542383999.9999967,South,Moderate,Flood
1542385800.0,South,Moderate,Flood
1542387600.0000033,South,Moderate,Flood
1542389399.9999967,South,Moderate,Flood
1542391200.0,South,Moderate,Flood
1542393000.0000033,East,Moderate,Flood
1542394799.9999967,East,Moderate,Flood
1542396600.0,East,Moderate,Flood
1542398400.0000033,East,Moderate,Flood
1542400199.9999967,East,Moderate,Flood
1542402000.0,East,Moderate,Flood
1542403800.0000033,South,Heavy,Ebb
1542405599.9999967,South,Heavy,Ebb
1542407400.0,South,Heavy,Ebb
1542409200.0000033,South,Heavy,Ebb
1542410999.9999967,South,Heavy,Ebb
1542412800.0,South,Heavy,Ebb
1542414600.0000033,South,Heavy,Ebb
1542416399.9999967,South,Heavy,Ebb
1542418200.0,South,Heavy,Ebb
1542420000.0000033,South,Heavy,Ebb
1542421799.9999967,South,Heavy,Ebb
1542423600.0,South,Heavy,Ebb
1542425400.0000033,South,Heavy,Flood
1542427199.9999967,South,Heavy,Flood
1542429000.0,South,Heavy,Flood
1542430800.0000033,South,Heavy,Flood
1542432599.9999967,South,Heavy,Flood
1542434400.0,South,Heavy,Flood
1542436200.0000033,East,Heavy,Flood
1542437999.9999967,East,Heavy,Flood
1542439800.0,East,Heavy,Flood
1542441600.0000033,East,Heavy,Flood
1542443399.9999967,East,Heavy,Flood
1542445200.0,East,Heavy,Flood
1542447000.0000033,South,Heavy,Ebb
1542448799.9999967,South,Heavy,Ebb
1542450600.0,South,Heavy,Ebb
1542452400.0000033,South,Heavy,Ebb
1542454199.9999967,South,Heavy,Ebb
1542456000.0,South,Heavy,Ebb
1542457800.0000033,South,Heavy,Ebb
1542459599.9999967,South,Heavy,Ebb
1542461400.0,South,Heavy,Ebb
1542463200.0000033,South,Heavy,Ebb
1542464999.9999967,South,Heavy,Ebb
1542466800.0,South,Heavy,Ebb
1542468600.0000033,South,Heavy,Ebb
1542470399.9999967,South,Heavy,Flood
1542472200.0,South,Heavy,Flood
1542474000.0000033,South,Heavy,Flood
1542475799.9999967,South,Heavy,Flood
1542477600.0,South,Heavy,Flood
1542479400.0000033,East,Heavy,Flood
1542481199.9999967,East,Heavy,Flood
1542483000.0,East,Heavy,Flood
1542484800.0000033,East,Heavy,Flood
1542486599.9999967,East,Heavy,Flood
1542488400.0,East,Heavy,Flood
1542490200.0000033,East,Heavy,Flood
1542491999.9999967,East,Heavy,Flood
1542493800.0,East,Heavy,Ebb
1542495600.0000033,East,Heavy,Ebb
1542497399.9999967,East,Heavy,Ebb
