timestamp,wind_direction,wind_level,tide
1571616000.0,North,Moderate,Flood
1571617800.0000033,North,Moderate,Flood
1571619599.9999967,North,Moderate,Flood
1571621400.0,North,Moderate,Flood
1571623200.0000033,North,Moderate,Flood
1571624999.9999967,North,Moderate,Flood
1571626800.0,North,Moderate,Flood
1571628600.0000033,North,Moderate,Flood
1571630399.9999967,North,Moderate,Flood
1571632200.0,North,Moderate,Flood
1571634000.0000033,North,Moderate,Flood
1571635799.9999967,North,Moderate,Flood
1571637600.0,North,Moderate,Ebb
1571639400.0000033,North,Moderate,Ebb
1571641199.9999967,North,Moderate,Ebb
1571643000.0,North,Moderate,Ebb
1571644800.0000033,North,Moderate,Ebb
1571646599.9999967,North,Moderate,Ebb
1571648400.0,North,Moderate,Ebb
1571650200.0000033,North,Moderate,Ebb
1571651999.9999967,North,Moderate,Ebb
1571653800.0,North,Moderate,Ebb
1571655600.0000033,North,Moderate,Ebb
1571657399.9999967,North,Moderate,Ebb
1571659200.0,North,Moderate,Ebb
1571661000.0000033,North,Moderate,Flood
1571662799.9999967,North,Moderate,Flood
1571664600.0,North,Moderate,Flood
1571666400.0000033,North,Moderate,Flood
1571668199.9999967,North,Moderate,Flood
1571670000.0,North,Moderate,Flood
1571671800.0000033,North,Heavy,Flood
1571673599.9999967,North,Heavy,Flood
1571675400.0,North,Heavy,Flood
1571677200.0000033,North,Heavy,Flood
1571678999.9999967,North,Heavy,Flood
1571680800.0,North,Heavy,Flood
1571682600.0000033,North,Moderate,Flood
1571684399.9999967,North,Moderate,Ebb
1571686200.0,North,Moderate,Ebb
1571688000.0000033,North,Moderate,Ebb
1571689799.9999967,North,Moderate,Ebb
1571691600.0,North,Moderate,Ebb
1571693400.0000033,North,Moderate,Ebb
1571695199.9999967,North,Moderate,Ebb
1571697000.0,North,Moderate,Ebb
1571698800.0000033,North,Moderate,Ebb
1571700599.9999967,North,Moderate,Ebb
1571702400.0,North,Moderate,Ebb
1571704200.0000033,East,Moderate,Ebb
1571705999.9999967,East,Moderate,Flood
1571707800.0,East,Moderate,Flood
1571709600.0000033,East,Moderate,Flood
1571711399.9999967,East,Moderate,Flood
1571713200.0,East,Moderate,Flood
1571715000.0000033,East,Heavy,Flood
1571716799.9999967,East,Heavy,Flood
1571718600.0,East,Heavy,Flood
1571720400.0000033,East,Heavy,Flood
1571722199.9999967,East,Heavy,Flood
1571724000.0,East,Heavy,Flood
1571725800.0000033,North,Moderate,Flood
1571727599.9999967,North,Moderate,Flood
1571729400.0,North,Moderate,Ebb
1571731200.0000033,North,Moderate,Ebb
1571732999.9999967,North,Moderate,Ebb
1571734800.0,North,Moderate,Ebb
1571736600.0000033,North,Moderate,Ebb
1571738399.9999967,North,Moderate,Ebb
1571740200.0,North,Moderate,Ebb
1571742000.0000033,North,Moderate,Ebb
