timestamp,waterlevel,"tide(1:high tide, 0:low tide)"
1475283060.0,3.49,1.0
1475304780.0,0.81,0.0
1475327100.0,3.58,1.0
1475349060.0,0.77,0.0
1475371320.0,3.51,1.0
1475393040.0,0.8,0.0
1475415360.0,3.55,1.0
1475437260.0,0.8,0.0
1475459520.0,3.49,1.0
1475481360.0,0.84,0.0
1475503680.0,3.48,1.0
1475525520.0,0.88,0.0
1475547840.0,3.43,1.0
1475569680.0,0.92,0.0
1475592000.0,3.36,1.0
1475613780.0,1.0,0.0
1475636160.0,3.32,1.0
1475658120.0,1.05,0.0
1475680500.0,3.2,1.0
1475702160.0,1.15,0.0
1475724720.0,3.18,1.0
1475746740.0,1.21,0.0
1475769120.0,3.03,1.0
1475790840.0,1.32,0.0
1475813520.0,3.03,1.0
1475835720.0,1.37,0.0
1475858280.0,2.85,1.0
1475879880.0,1.49,0.0
1475902920.0,2.88,1.0
1475925420.0,1.52,0.0
1475948280.0,2.71,1.0
1475970000.0,1.62,0.0
1475993400.0,2.79,1.0
1476016380.0,1.6,0.0
1476039480.0,2.66,1.0
1476061320.0,1.67,0.0
1476084660.0,2.8,1.0
1476107940.0,1.55,0.0
1476130740.0,2.74,1.0
1476152700.0,1.57,0.0
1476175500.0,2.94,1.0
1476198540.0,1.37,0.0
1476221040.0,2.93,1.0
1476242940.0,1.36,0.0
1476265440.0,3.17,1.0
1476288120.0,1.12,0.0
1476310560.0,3.18,1.0
1476332400.0,1.11,0.0
1476354780.0,3.43,1.0
1476377280.0,0.87,0.0
1476399660.0,3.44,1.0
1476421560.0,0.85,0.0
1476443880.0,3.67,1.0
1476466320.0,0.64,0.0
1476488640.0,3.67,1.0
1476510540.0,0.62,0.0
1476532920.0,3.87,1.0
1476555240.0,0.46,0.0
1476577560.0,3.84,1.0
1476599520.0,0.46,0.0
1476621960.0,3.98,1.0
1476644160.0,0.38,0.0
1476666540.0,3.94,1.0
1476688560.0,0.39,0.0
1476711000.0,3.99,1.0
1476733140.0,0.4,0.0
1476755580.0,3.94,1.0
1476777660.0,0.42,0.0
1476800220.0,3.9,1.0
1476822240.0,0.52,0.0
1476844740.0,3.84,1.0
1476866940.0,0.55,0.0
1476889500.0,3.71,1.0
1476911460.0,0.72,0.0
1476934080.0,3.67,1.0
1476956460.0,0.76,0.0
1476979140.0,3.45,1.0
1477000980.0,0.98,0.0
1477023780.0,3.45,1.0
1477046400.0,1.0,0.0
1477069200.0,3.19,1.0
1477091040.0,1.24,0.0
1477114020.0,3.24,1.0
1477137060.0,1.22,0.0
1477160040.0,2.98,1.0
1477181940.0,1.44,0.0
1477205040.0,3.08,1.0
1477228560.0,1.34,0.0
1477251480.0,2.89,1.0
1477273620.0,1.51,0.0
1477296360.0,3.05,1.0
1477319940.0,1.32,0.0
1477342560.0,2.94,1.0
1477364640.0,1.45,0.0
1477387020.0,3.11,1.0
